rho,kappa,method,makespan
0.5R,4,GCCS,3.187239707900665
0.5R,4,HEFT,3.0024911662439444
0.5R,4,Hydra,3.0024911662439444
0.5R,4,MRSA,3.2620295821808623
0.7R,4,GCCS,2.2284032496334136
0.7R,4,HEFT,2.1954165910222403
0.7R,4,Hydra,2.1954165910222403
0.7R,4,MRSA,2.371714153386032
0.9R,4,GCCS,2.0152863239874503
0.9R,4,HEFT,1.8126746302951209
0.9R,4,Hydra,1.7364627427014387
0.9R,4,MRSA,1.9033739041976672
1R,4,GCCS,1.6825873289862847
1R,4,HEFT,1.60297075642777
1R,4,Hydra,1.7881321804831962
1R,4,MRSA,1.6672670257282074
1.25R,4,GCCS,1.5082865941464108
1.25R,4,HEFT,1.4995494963254263
1.25R,4,Hydra,1.578486747892245
1.25R,4,MRSA,1.5644444106020927
1.5R,4,GCCS,1.4712974010439888
1.5R,4,HEFT,1.3762009042642358
1.5R,4,Hydra,1.5208391307365534
1.5R,4,MRSA,1.545147213796058
2R,4,GCCS,1.5092435910991369
2R,4,HEFT,1.380572425412753
2R,4,Hydra,1.8165729507417099
2R,4,MRSA,1.4500414985079375
