rho,kappa,method,makespan
0.5R,4,GCCS,3.2311492888053053
0.5R,4,HEFT,3.0995659718523325
0.5R,4,Hydra,3.068749518836118
0.5R,4,MRSA,4.24710470184659
0.7R,4,GCCS,2.274396591410724
0.7R,4,HEFT,2.3762765794235743
0.7R,4,Hydra,2.3104376878351567
0.7R,4,MRSA,3.119962877548309
0.9R,4,GCCS,1.862594903338873
0.9R,4,HEFT,1.853629237511758
0.9R,4,Hydra,1.8486855519722976
0.9R,4,MRSA,2.5144602602164596
1R,4,GCCS,1.697498344303583
1R,4,HEFT,1.5932768942969373
1R,4,Hydra,1.6881226848240414
1R,4,MRSA,2.370250286355737
1.25R,4,GCCS,1.5092812996663947
1.25R,4,HEFT,1.4722794719697168
1.25R,4,Hydra,1.595730743146377
1.25R,4,MRSA,2.0468374333507198
1.5R,4,GCCS,1.4996643974236756
1.5R,4,HEFT,1.4051532139242338
1.5R,4,Hydra,1.6271226926995015
1.5R,4,MRSA,1.8113124499614905
2R,4,GCCS,1.44542887477048
2R,4,HEFT,1.3593940871283774
2R,4,Hydra,1.755116218289625
2R,4,MRSA,1.5984304566958576
