rho,kappa,method,makespan
0.5R,4,GCCS,3.003476502782653
0.5R,4,HEFT,3.3638936831165713
0.5R,4,Hydra,3.6677592970347037
0.5R,4,MRSA,3.1836850929496125
0.6R,4,GCCS,2.504791289177957
0.6R,4,HEFT,2.8053662438793125
0.6R,4,Hydra,3.0511606968240983
0.6R,4,MRSA,2.6550787665286344
0.75R,4,GCCS,2.030750845416448
0.75R,4,HEFT,2.274440946866422
0.75R,4,Hydra,2.4887072665535697
0.75R,4,MRSA,2.1525958961414347
0.9R,4,GCCS,1.74334064385613
0.9R,4,HEFT,1.952541521118866
0.9R,4,Hydra,2.1881491308242533
0.9R,4,MRSA,1.8479410824874978
1R,4,GCCS,1.5062592526014522
1R,4,HEFT,1.6870103629136268
1R,4,Hydra,2.04561080478263
1R,4,MRSA,1.635131225780285
1.25R,4,GCCS,1.4201965391581877
1.25R,4,HEFT,1.5906201238571704
1.25R,4,Hydra,1.945734107510766
1.25R,4,MRSA,1.5054083315076792
1.5R,4,GCCS,1.4372896405635047
1.5R,4,HEFT,1.6097643974311253
1.5R,4,Hydra,1.8846223651305132
1.5R,4,MRSA,1.5235270189973151
2R,4,GCCS,1.4277550090745903
2R,4,HEFT,1.5990856101635413
2R,4,Hydra,1.7406722162588715
2R,4,MRSA,1.5134203096190657
