rho,kappa,method,makespan
0.5R,1,GCCS,2.8977783913017956
0.5R,1,HEFT,3.2455117982580113
0.5R,1,Hydra,2.9318571048237523
0.5R,1,MRSA,3.1434493746566075
0.5R,2,GCCS,2.9269645553183934
0.5R,2,HEFT,3.278200301956601
0.5R,2,Hydra,2.880208756451622
0.5R,2,MRSA,3.1122757754307973
0.5R,4,GCCS,3.0059762669301473
0.5R,4,HEFT,3.3666934189617654
0.5R,4,Hydra,3.024664973152742
0.5R,4,MRSA,3.210180999219538
0.5R,8,GCCS,3.169768416449318
0.5R,8,HEFT,3.550140626423237
0.5R,8,Hydra,3.4307676527527726
0.5R,8,MRSA,4.920930065830086
1R,1,GCCS,1.4353285087924668
1R,1,HEFT,1.607567929847563
1R,1,Hydra,1.602693047509947
1R,1,MRSA,1.8338705503671557
1R,2,GCCS,1.494079523096785
1R,2,HEFT,1.6733690658683993
1R,2,Hydra,1.6748715834858252
1R,2,MRSA,1.6914696584570823
1R,4,GCCS,1.5475940897177671
1R,4,HEFT,1.7333053804838994
1R,4,Hydra,1.6699152763608143
1R,4,MRSA,1.8586455623075424
1R,8,GCCS,1.7082627055829847
1R,8,HEFT,1.913254230252943
1R,8,Hydra,2.0266340835046655
1R,8,MRSA,3.3772506318339017
2R,1,GCCS,1.4277550090745903
2R,1,HEFT,1.5990856101635413
2R,1,Hydra,1.354780752266508
2R,1,MRSA,1.5134203096190657
2R,2,GCCS,1.4277550090745903
2R,2,HEFT,1.5990856101635413
2R,2,Hydra,1.3676242514717203
2R,2,MRSA,1.5134203096190657
2R,4,GCCS,1.4277550090745903
2R,4,HEFT,1.5990856101635413
2R,4,Hydra,1.3541499967202535
2R,4,MRSA,1.5134203096190657
2R,8,GCCS,1.4277550090745903
2R,8,HEFT,1.5990856101635413
2R,8,Hydra,1.3671932216839944
2R,8,MRSA,1.7923955060164247
4R,1,GCCS,1.417447737484645
4R,1,HEFT,1.5875414659828027
4R,1,Hydra,1.3578609930302288
4R,1,MRSA,1.502494601733724
4R,2,GCCS,1.417447737484645
4R,2,HEFT,1.5875414659828027
4R,2,Hydra,1.3772818524639796
4R,2,MRSA,1.5024946017337237
4R,4,GCCS,1.417447737484645
4R,4,HEFT,1.5875414659828027
4R,4,Hydra,1.4234841364866404
4R,4,MRSA,1.5024946017337237
4R,8,GCCS,1.417447737484645
4R,8,HEFT,1.5875414659828024
4R,8,Hydra,1.3811638130271588
4R,8,MRSA,1.5024946017337237
