rho,kappa,method,makespan
0.5R,1,GCCS,2.9029269880267665
0.5R,1,HEFT,3.251278226589979
0.5R,1,Hydra,3.370059364272064
0.5R,1,MRSA,3.166008259044504
0.5R,2,GCCS,2.931557772867059
0.5R,2,HEFT,3.2833447056111065
0.5R,2,Hydra,3.4784440289147662
0.5R,2,MRSA,3.1074512392390825
0.5R,4,GCCS,3.016425066313549
0.5R,4,HEFT,3.378396074271175
0.5R,4,Hydra,3.9542099336556724
0.5R,4,MRSA,3.4571045584596556
0.5R,7,GCCS,3.1933187523228908
0.5R,7,HEFT,3.576517002601638
0.5R,7,Hydra,4.5603419045705005
0.5R,7,MRSA,3.384917877462265
0.7R,1,GCCS,2.0951916531492403
0.7R,1,HEFT,2.3466146515271493
0.7R,1,Hydra,2.416696755764185
0.7R,1,MRSA,2.3988623742003203
0.7R,2,GCCS,2.143833588640097
0.7R,2,HEFT,2.401093619276909
0.7R,2,Hydra,2.5475992503550153
0.7R,2,MRSA,2.272463603958503
0.7R,4,GCCS,2.205744915282919
0.7R,4,HEFT,2.4704343051168696
0.7R,4,Hydra,2.7992633485100558
0.7R,4,MRSA,2.5103126662373945
0.7R,7,GCCS,2.3113708009204754
0.7R,7,HEFT,2.5887352970309325
0.7R,7,Hydra,3.299956179569581
0.7R,7,MRSA,2.502385066160066
0.9R,1,GCCS,1.6464498004395032
0.9R,1,HEFT,1.844023776492244
0.9R,1,Hydra,1.9402260958895305
0.9R,1,MRSA,2.035349618668925
0.9R,2,GCCS,1.6762970098693122
0.9R,2,HEFT,1.8774526510536298
0.9R,2,Hydra,2.039340252104672
0.9R,2,MRSA,1.8918769647407427
0.9R,4,GCCS,1.7488415938895627
0.9R,4,HEFT,1.9587025851563107
0.9R,4,Hydra,2.263169315344174
0.9R,4,MRSA,2.219400432148472
0.9R,7,GCCS,1.92674713200158
0.9R,7,HEFT,2.15795678784177
0.9R,7,Hydra,2.602716097436724
0.9R,7,MRSA,2.212222174123397
1R,1,GCCS,1.4893825665658358
1R,1,HEFT,1.6681084745537362
1R,1,Hydra,1.7955417437155632
1R,1,MRSA,1.9112552602366861
1R,2,GCCS,1.5447325270270658
1R,2,HEFT,1.7301004302703138
1R,2,Hydra,1.8557926024645326
1R,2,MRSA,1.7525222254341482
1R,4,GCCS,1.6186315170110406
1R,4,HEFT,1.8128672990523655
1R,4,Hydra,2.1342877049187305
1R,4,MRSA,1.788693307448109
1R,7,GCCS,1.7532845942400592
1R,7,HEFT,1.9636787455488665
1R,7,Hydra,2.4440019169704765
1R,7,MRSA,2.0293123042789354
1.1R,1,GCCS,1.4424527210797589
1.1R,1,HEFT,1.6155470476093303
1.1R,1,Hydra,1.7357384259694324
1.1R,1,MRSA,1.7293860726935903
1.1R,2,GCCS,1.466086348723426
1.1R,2,HEFT,1.6420167105702372
1.1R,2,Hydra,1.7315148155679685
1.1R,2,MRSA,1.6059140075706617
1.1R,4,GCCS,1.5443289617670124
1.1R,4,HEFT,1.7296484371790541
1.1R,4,Hydra,1.9898014305039238
1.1R,4,MRSA,1.6369886994730332
1.1R,7,GCCS,1.6801394660214641
1.1R,7,HEFT,1.88175620194404
1.1R,7,Hydra,2.4005509502518247
1.1R,7,MRSA,1.7809478339827522
1.3R,1,GCCS,1.42775500907459
1.3R,1,HEFT,1.599085610163541
1.3R,1,Hydra,1.5984748032724563
1.3R,1,MRSA,1.5753580270577947
1.3R,2,GCCS,1.42775500907459
1.3R,2,HEFT,1.5990856101635411
1.3R,2,Hydra,1.7355120400389454
1.3R,2,MRSA,1.5134203096190655
1.3R,4,GCCS,1.42775500907459
1.3R,4,HEFT,1.599085610163541
1.3R,4,Hydra,1.7909173393526094
1.3R,4,MRSA,1.5134203096190653
1.3R,7,GCCS,1.5646705563163228
1.3R,7,HEFT,1.752431023074282
1.3R,7,Hydra,2.126764112948927
1.3R,7,MRSA,1.7130497832829286
1.5R,1,GCCS,1.42775500907459
1.5R,1,HEFT,1.5990856101635411
1.5R,1,Hydra,1.5823602597757895
1.5R,1,MRSA,1.6389607869729876
1.5R,2,GCCS,1.42775500907459
1.5R,2,HEFT,1.5990856101635411
1.5R,2,Hydra,1.6108368268240723
1.5R,2,MRSA,1.5134203096190653
1.5R,4,GCCS,1.42775500907459
1.5R,4,HEFT,1.5990856101635411
1.5R,4,Hydra,1.7574045829513507
1.5R,4,MRSA,1.6197849784617935
1.5R,7,GCCS,1.472345247579268
1.5R,7,HEFT,1.6490266772887805
1.5R,7,Hydra,1.9536819857420735
1.5R,7,MRSA,1.5606859624340244
