rho,kappa,method,makespan
1R,1,GCCS,1.4893825665658358
1R,1,HEFT,1.5064312175932704
1R,1,Hydra,1.702503460063088
1R,1,MRSA,1.5673287183281541
1R,2,GCCS,1.559372653127591
1R,2,HEFT,1.5382531699795634
1R,2,Hydra,1.7212015909868483
1R,2,MRSA,1.6504486751227943
1R,3,GCCS,1.678858231404258
1R,3,HEFT,1.7156056786049452
1R,3,Hydra,1.7904816447503673
1R,3,MRSA,1.712315392602222
1R,4,GCCS,1.7527558361446545
1R,4,HEFT,1.6953534277390452
1R,4,Hydra,1.736770527533129
1R,4,MRSA,1.8173753069824516
1R,5,GCCS,1.9215070401994752
1R,5,HEFT,1.9744942212930736
1R,5,Hydra,1.8920556225605114
1R,5,MRSA,1.8797142756801928
1R,6,GCCS,2.107435194998411
1R,6,HEFT,2.1218933944904137
1R,6,Hydra,1.983856462755042
1R,6,MRSA,1.986708041831714
1R,7,GCCS,2.307431850013724
1R,7,HEFT,2.0547572607381666
1R,7,Hydra,2.035411116106002
1R,7,MRSA,2.0796606456776097
2R,1,GCCS,1.42775500907459
2R,1,HEFT,1.4381519144358978
2R,1,Hydra,1.4969857325302165
2R,1,MRSA,1.4564961029207109
2R,2,GCCS,1.4368978465869058
2R,2,HEFT,1.3562627090173907
2R,2,Hydra,1.6442301152680157
2R,2,MRSA,1.429425648592098
2R,3,GCCS,1.4539599029540538
2R,3,HEFT,1.3783451189818514
2R,3,Hydra,1.8966320480155234
2R,3,MRSA,1.4121368845814115
2R,4,GCCS,1.4710219593212013
2R,4,HEFT,1.3862550266584164
2R,4,Hydra,1.7212015909868483
2R,4,MRSA,1.430933407824146
2R,5,GCCS,1.5041400876203415
2R,5,HEFT,1.4762083929355718
2R,5,Hydra,1.87922357963086
2R,5,MRSA,1.486204633224596
2R,6,GCCS,1.5615196104151552
2R,6,HEFT,1.5009959503262509
2R,6,Hydra,1.7904816447503673
2R,6,MRSA,1.5414758586250459
2R,7,GCCS,1.6188991332099685
2R,7,HEFT,1.558381227295387
2R,7,Hydra,1.8166734804447475
2R,7,MRSA,1.5967470840254954
