rho,kappa,method,makespan
1R,1,GCCS,1.5695469946655765
1R,1,HEFT,1.5498909024222334
1R,1,Hydra,1.6127996077740323
1R,1,MRSA,1.5363932726693146
1R,2,GCCS,1.5759140595659575
1R,2,HEFT,1.4868905456116988
1R,2,Hydra,1.7324536266125719
1R,2,MRSA,1.6349247158706341
1R,3,GCCS,1.59645543651383
1R,3,HEFT,1.5194924276198651
1R,3,Hydra,1.6056784243748674
1R,3,MRSA,1.706553397849894
1R,4,GCCS,1.6184795378370596
1R,4,HEFT,1.5860561660561543
1R,4,Hydra,1.6310577073979948
1R,4,MRSA,2.3159176939298773
1R,5,GCCS,1.6187410546901038
1R,5,HEFT,1.6105911057279603
1R,5,Hydra,1.789311969483863
1R,5,MRSA,2.2281997877977546
1R,6,GCCS,1.6980737048143673
1R,6,HEFT,1.737826578990689
1R,6,Hydra,1.838547532018773
1R,6,MRSA,2.275645389743261
1R,7,GCCS,1.829796171633837
1R,7,HEFT,1.8248842102660991
1R,7,Hydra,1.7311799884678007
1R,7,MRSA,2.3338696120908775
2R,1,GCCS,1.4481271545807268
2R,1,HEFT,1.3792728326675092
2R,1,Hydra,1.6518768259450538
2R,1,MRSA,1.3924606750798094
2R,2,GCCS,1.4568580740833568
2R,2,HEFT,1.3498654417643134
2R,2,Hydra,1.474069273422863
2R,2,MRSA,1.4371917854936709
2R,3,GCCS,1.4800768907094932
2R,3,HEFT,1.350534676692731
2R,3,Hydra,1.5721600453414541
2R,3,MRSA,1.4693160680293376
2R,4,GCCS,1.4956621607617127
2R,4,HEFT,1.365468362215079
2R,4,Hydra,1.6380559791117546
2R,4,MRSA,1.5656889156363372
2R,5,GCCS,1.5094135804011692
2R,5,HEFT,1.3685544036330113
2R,5,Hydra,1.571332005881901
2R,5,MRSA,1.6438945110163306
2R,6,GCCS,1.5296157366052738
2R,6,HEFT,1.3583098306761487
2R,6,Hydra,1.5000062103480096
2R,6,MRSA,1.6764073866317382
2R,7,GCCS,1.5296157366052738
2R,7,HEFT,1.3710993048511342
2R,7,Hydra,1.568188749081248
2R,7,MRSA,1.6764073866317382
