H,method,makespan
0.0,GCCS,1.6825873289862847
0.0,HEFT,1.60297075642777
0.0,Hydra,1.7881321804831962
0.0,MRSA,1.6672670257282074
0.1,GCCS,1.6576980082593453
0.1,HEFT,1.592771724735484
0.1,Hydra,1.7861656788355544
0.1,MRSA,1.6555765335748684
0.2,GCCS,1.6710147402594344
0.2,HEFT,1.57609137460679
0.2,Hydra,1.7861656788355544
0.2,MRSA,1.6989939206986573
0.3,GCCS,1.617667879274372
0.3,HEFT,1.5749080531526944
0.3,Hydra,1.8202991057823197
0.3,MRSA,1.6899678348699643
0.4,GCCS,1.6411119271549732
0.4,HEFT,1.5752858984640272
0.4,Hydra,1.7861656788355544
0.4,MRSA,1.7457801062571283
