rho,kappa,method,makespan
0.5R,2,GCCS,2.933496100781133
0.5R,2,HEFT,3.28551563287487
0.5R,2,Hydra,2.855710515898489
0.5R,2,MRSA,2.8866905022281686
0.5R,3,GCCS,2.9877212536991964
0.5R,3,HEFT,3.3462478041431
0.5R,3,Hydra,2.9472135796213075
0.5R,3,MRSA,3.0767242241235793
0.5R,4,GCCS,3.014609293170765
0.5R,4,HEFT,3.376362408351257
0.5R,4,Hydra,3.028307564789046
0.5R,4,MRSA,3.0973632116357397
0.5R,5,GCCS,3.048855115089072
0.5R,5,HEFT,3.414717728899761
0.5R,5,Hydra,3.1939696969982205
0.5R,5,MRSA,3.693947612241563
0.5R,6,GCCS,3.1290188420978886
0.5R,6,HEFT,3.504501103149636
0.5R,6,Hydra,3.375341939150461
0.5R,6,MRSA,3.827770961944463
1R,2,GCCS,1.5626715002269498
1R,2,HEFT,1.7501920802541842
1R,2,Hydra,1.6774326632950503
1R,2,MRSA,1.67030832288659
1R,3,GCCS,1.5720785672245716
1R,3,HEFT,1.7607279952915205
1R,3,Hydra,1.779476665857235
1R,3,MRSA,1.7793373047377123
1R,4,GCCS,1.58799246802121
1R,4,HEFT,1.7785515641837555
1R,4,Hydra,1.7597554010566305
1R,4,MRSA,1.8794793934222662
1R,5,GCCS,1.6072176453158797
1R,5,HEFT,1.8000837627537856
1R,5,Hydra,1.7426860167258367
1R,5,MRSA,1.8834679653874353
1R,6,GCCS,1.6033400229984283
1R,6,HEFT,1.79574082575824
1R,6,Hydra,1.8597765674501578
1R,6,MRSA,1.9822495167682102
2R,2,GCCS,1.4277550090745899
2R,2,HEFT,1.599085610163541
2R,2,Hydra,1.3792833483480895
2R,2,MRSA,1.3900676904601044
2R,3,GCCS,1.4277550090745899
2R,3,HEFT,1.599085610163541
2R,3,Hydra,1.3815105098125748
2R,3,MRSA,1.4172057621353478
2R,4,GCCS,1.4277550090745899
2R,4,HEFT,1.5990856101635407
2R,4,Hydra,1.3753129254351146
2R,4,MRSA,1.4366866417533313
2R,5,GCCS,1.4277550090745899
2R,5,HEFT,1.599085610163541
2R,5,Hydra,1.4223505757132529
2R,5,MRSA,1.4637845542004508
2R,6,GCCS,1.4277550090745899
2R,6,HEFT,1.5990856101635407
2R,6,Hydra,1.4008961829346243
2R,6,MRSA,1.5570988117993778
4R,2,GCCS,1.4174477374846448
4R,2,HEFT,1.5875414659828022
4R,2,Hydra,1.3894127724593024
4R,2,MRSA,1.436729558960084
4R,3,GCCS,1.4174477374846448
4R,3,HEFT,1.5875414659828024
4R,3,Hydra,1.4450903190555273
4R,3,MRSA,1.4886998117736656
4R,4,GCCS,1.4174477374846448
4R,4,HEFT,1.5875414659828024
4R,4,Hydra,1.4220223739720912
4R,4,MRSA,1.502132239602719
4R,5,GCCS,1.4174477374846448
4R,5,HEFT,1.5875414659828022
4R,5,Hydra,1.4291829787827113
4R,5,MRSA,1.5557289048097631
4R,6,GCCS,1.4174477374846448
4R,6,HEFT,1.5875414659828024
4R,6,Hydra,1.4953374469226153
4R,6,MRSA,1.5772441026351314
