rho,kappa,method,makespan
0.5R,2,GCCS,2.9347263564639294
0.5R,2,HEFT,3.286893519239601
0.5R,2,Hydra,2.955710515898489
0.5R,2,MRSA,3.1108099378517653
0.5R,3,GCCS,2.956619376813073
0.5R,3,HEFT,3.311413702030642
0.5R,3,Hydra,2.9672135796213075
0.5R,3,MRSA,3.134016539421858
0.5R,4,GCCS,3.003476502782653
0.5R,4,HEFT,3.3638936831165713
0.5R,4,Hydra,3.028307564789046
0.5R,4,MRSA,3.1836850929496125
0.5R,5,GCCS,3.085523577887786
0.5R,5,HEFT,3.45578640723432
0.5R,5,Hydra,3.1939696969982205
0.5R,5,MRSA,3.2706549925610533
0.5R,6,GCCS,3.063333243675354
0.5R,6,HEFT,3.430933232916397
0.5R,6,Hydra,3.375341939150461
0.5R,6,MRSA,3.2471332382958757
1R,2,GCCS,1.464715753614488
1R,2,HEFT,1.6404816440482266
1R,2,Hydra,1.6774326632950503
1R,2,MRSA,1.6923861658405586
1R,3,GCCS,1.4866714359816804
1R,3,HEFT,1.665072008299482
1R,3,Hydra,1.779476665857235
1R,3,MRSA,1.6574140960152357
1R,4,GCCS,1.5062592526014522
1R,4,HEFT,1.6870103629136268
1R,4,Hydra,1.7597554010566305
1R,4,MRSA,1.635131225780285
1R,5,GCCS,1.5426142917454726
1R,5,HEFT,1.7277280067549292
1R,5,Hydra,1.7426860167258367
1R,5,MRSA,1.64585447805233
1R,6,GCCS,1.5854241808845362
1R,6,HEFT,1.7756750825906809
1R,6,Hydra,1.8597765674501578
1R,6,MRSA,1.6805496317376083
2R,2,GCCS,1.4277550090745903
2R,2,HEFT,1.5990856101635413
2R,2,Hydra,1.3792833483480895
2R,2,MRSA,1.5134203096190657
2R,3,GCCS,1.4277550090745903
2R,3,HEFT,1.5990856101635413
2R,3,Hydra,1.3815105098125748
2R,3,MRSA,1.5134203096190657
2R,4,GCCS,1.4277550090745903
2R,4,HEFT,1.5990856101635413
2R,4,Hydra,1.3753129254351146
2R,4,MRSA,1.5134203096190657
2R,5,GCCS,1.4277550090745903
2R,5,HEFT,1.5990856101635413
2R,5,Hydra,1.4223505757132529
2R,5,MRSA,1.513420309619066
2R,6,GCCS,1.4277550090745903
2R,6,HEFT,1.5990856101635413
2R,6,Hydra,1.4008961829346243
2R,6,MRSA,1.5134203096190657
4R,2,GCCS,1.417447737484645
4R,2,HEFT,1.5875414659828027
4R,2,Hydra,1.3894127724593024
4R,2,MRSA,1.5024946017337237
4R,3,GCCS,1.417447737484645
4R,3,HEFT,1.5875414659828027
4R,3,Hydra,1.4450903190555273
4R,3,MRSA,1.5024946017337237
4R,4,GCCS,1.417447737484645
4R,4,HEFT,1.5875414659828027
4R,4,Hydra,1.4220223739720912
4R,4,MRSA,1.5024946017337237
4R,5,GCCS,1.417447737484645
4R,5,HEFT,1.5875414659828027
4R,5,Hydra,1.4291829787827113
4R,5,MRSA,1.5024946017337237
4R,6,GCCS,1.417447737484645
4R,6,HEFT,1.5875414659828024
4R,6,Hydra,1.4953374469226153
4R,6,MRSA,1.5024946017337237
