rho,kappa,method,makespan
0.5R,1,GCCS,2.9277783913017956
0.5R,1,HEFT,3.2055117982580113
0.5R,1,Hydra,3.12980676646723
0.5R,1,MRSA,3.1434493746566075
0.5R,2,GCCS,2.9947263564639294
0.5R,2,HEFT,3.246893519239601
0.5R,2,Hydra,3.2699717061173366
0.5R,2,MRSA,3.3408099378517653
0.5R,4,GCCS,3.113476502782653
0.5R,4,HEFT,3.3638936831165713
0.5R,4,Hydra,3.6677592970347037
0.5R,4,MRSA,3.6336850929496125
0.5R,8,GCCS,3.3199229636834773
0.5R,8,HEFT,3.5943137193254943
0.5R,8,Hydra,4.081163090079463
0.5R,8,MRSA,3.907118341504486
1R,1,GCCS,1.6253285087924668
1R,1,HEFT,1.707567929847563
1R,1,Hydra,1.7962607475848129
1R,1,MRSA,1.77338705503671557
1R,2,GCCS,1.474715753614488
1R,2,HEFT,1.6404816440482266
1R,2,Hydra,1.7488341525104205
1R,2,MRSA,1.6923861658405586
1R,4,GCCS,1.5662592526014522
1R,4,HEFT,1.8070103629136268
1R,4,Hydra,1.94561080478263
1R,4,MRSA,1.785131225780285
1R,8,GCCS,1.7868947950993087
1R,8,HEFT,2.0333221705112257
1R,8,Hydra,2.28912778004811
1R,8,MRSA,1.975108482805267
2R,1,GCCS,1.4277550090745903
2R,1,HEFT,1.5990856101635413
2R,1,Hydra,1.5447157481410387
2R,1,MRSA,1.5234203096190657
2R,2,GCCS,1.3577550090745903
2R,2,HEFT,1.5790856101635413
2R,2,Hydra,1.5488233640980278
2R,2,MRSA,1.5234203096190657
2R,4,GCCS,1.3877550090745903
2R,4,HEFT,1.6090856101635413
2R,4,Hydra,1.7406722162588715
2R,4,MRSA,1.5734203096190657
2R,8,GCCS,1.5377550090745903
2R,8,HEFT,1.7290856101635413
2R,8,Hydra,1.9411602050377713
2R,8,MRSA,1.6834203096190657
4R,1,GCCS,1.367447737484645
4R,1,HEFT,1.4875414659828027
4R,1,Hydra,1.448905398591087
4R,1,MRSA,1.402494601733724
4R,2,GCCS,1.340447737484645
4R,2,HEFT,1.4575414659828027
4R,2,Hydra,1.4519924368915115
4R,2,MRSA,1.4224946017337237
4R,4,GCCS,1.340447737484645
4R,4,HEFT,1.4575414659828027
4R,4,Hydra,1.4757746252794145
4R,4,MRSA,1.3824946017337237
4R,8,GCCS,1.352447737484645
4R,8,HEFT,1.4775414659828029
4R,8,Hydra,1.500937929657962
4R,8,MRSA,1.4024946017337237
