rho,kappa,method,makespan
0.5R,1,GCCS,2.9277783913017956
0.5R,1,HEFT,3.2055117982580113
0.5R,1,Hydra,3.12980676646723
0.5R,1,MRSA,3.1434493746566075
0.5R,2,GCCS,2.959645553183934
0.5R,2,HEFT,3.238200301956601
0.5R,2,Hydra,3.251479464080258
0.5R,2,MRSA,3.3622757754307973
0.5R,4,GCCS,3.0659762669301473
0.5R,4,HEFT,3.3666934189617654
0.5R,4,Hydra,3.3949930743475443
0.5R,4,MRSA,3.530180999219538
0.5R,8,GCCS,3.319768416449318
0.5R,8,HEFT,3.590140626423237
0.5R,8,Hydra,3.574319274465942
0.5R,8,MRSA,3.690930065830086
1R,1,GCCS,1.6253285087924668
1R,1,HEFT,1.707567929847563
1R,1,Hydra,1.7962607475848129
1R,1,MRSA,1.77338705503671557
1R,2,GCCS,1.444079523096785
1R,2,HEFT,1.6333690658683993
1R,2,Hydra,1.6838533015023083
1R,2,MRSA,1.6914696584570823
1R,4,GCCS,1.4875940897177671
1R,4,HEFT,1.7833053804838994
1R,4,Hydra,1.7275048731328588
1R,4,MRSA,1.8586455623075424
1R,8,GCCS,1.7082627055829847
1R,8,HEFT,1.993254230252943
1R,8,Hydra,1.9259016999538354
1R,8,MRSA,2.0372506318339017
2R,1,GCCS,1.4277550090745903
2R,1,HEFT,1.5990856101635413
2R,1,Hydra,1.5447157481410387
2R,1,MRSA,1.5234203096190657
2R,2,GCCS,1.3277550090745903
2R,2,HEFT,1.5690856101635413
2R,2,Hydra,1.5188753481405804
2R,2,MRSA,1.5834203096190657
2R,4,GCCS,1.3377550090745903
2R,4,HEFT,1.5990856101635413
2R,4,Hydra,1.5422235782778157
2R,4,MRSA,1.6634203096190657
2R,8,GCCS,1.4777550090745903
2R,8,HEFT,1.6390856101635413
2R,8,Hydra,1.5888029398808477
2R,8,MRSA,1.7123955060164247
4R,1,GCCS,1.367447737484645
4R,1,HEFT,1.4875414659828027
4R,1,Hydra,1.448905398591087
4R,1,MRSA,1.402494601733724
4R,2,GCCS,1.340447737484645
4R,2,HEFT,1.4375414659828027
4R,2,Hydra,1.4182559686027441
4R,2,MRSA,1.4024946017337237
4R,4,GCCS,1.340447737484645
4R,4,HEFT,1.4575414659828027
4R,4,Hydra,1.4133594248913203
4R,4,MRSA,1.4524946017337237
4R,8,GCCS,1.340447737484645
4R,8,HEFT,1.4575414659828024
4R,8,Hydra,1.4190918750597194
4R,8,MRSA,1.4924946017337237
