H,method,makespan
0.0,GCCS,1.5062592526014522
0.0,HEFT,1.6870103629136268
0.0,Hydra,2.04561080478263
0.0,MRSA,1.635131225780285
0.1,GCCS,1.5193960938109392
0.1,HEFT,1.7017236250682521
0.1,Hydra,2.061593311443457
0.1,MRSA,1.6383933473610293
0.2,GCCS,1.5402571404591756
0.2,HEFT,1.7250879973142768
0.2,Hydra,1.9717136361979235
0.2,MRSA,1.6488175252990485
0.3,GCCS,1.5470164089462701
0.3,HEFT,1.7326583780198228
0.3,Hydra,1.90911140339641
0.3,MRSA,1.6570361671832108
0.4,GCCS,1.558074158529519
0.4,HEFT,1.7450430575530615
0.4,Hydra,1.8886956334561198
0.4,MRSA,1.665197941739853
