rho,kappa,method,makespan
0.5R,1,GCCS,2.8977783913017956
0.5R,1,HEFT,3.2455117982580113
0.5R,1,Hydra,3.12980676646723
0.5R,1,MRSA,3.1434493746566075
0.5R,2,GCCS,2.9269645553183934
0.5R,2,HEFT,3.278200301956601
0.5R,2,Hydra,3.201479464080258
0.5R,2,MRSA,3.1122757754307973
0.5R,3,GCCS,2.978928672830796
0.5R,3,HEFT,3.336400113570492
0.5R,3,Hydra,3.255954345783947
0.5R,3,MRSA,3.1576643932006436
0.5R,4,GCCS,3.0059762669301473
0.5R,4,HEFT,3.3666934189617654
0.5R,4,Hydra,3.4449930743475443
0.5R,4,MRSA,3.210180999219538
0.5R,5,GCCS,3.027414157537558
0.5R,5,HEFT,3.3907038564420646
0.5R,5,Hydra,3.596604195800633
0.5R,5,MRSA,3.311533160659869
0.5R,6,GCCS,3.0908567839429097
0.5R,6,HEFT,3.461759598016059
0.5R,6,Hydra,3.7733154022208217
0.5R,6,MRSA,3.3415108608055077
1R,1,GCCS,1.4353285087924668
1R,1,HEFT,1.607567929847563
1R,1,Hydra,1.692607475848129
1R,1,MRSA,1.8338705503671557
1R,2,GCCS,1.494079523096785
1R,2,HEFT,1.6733690658683993
1R,2,Hydra,1.7238533015023083
1R,2,MRSA,1.6914696584570823
1R,3,GCCS,1.5123164978010775
1R,3,HEFT,1.693794477537207
1R,3,Hydra,1.771574402663036
1R,3,MRSA,1.6938209151858783
1R,4,GCCS,1.5475940897177671
1R,4,HEFT,1.7333053804838994
1R,4,Hydra,1.8875048731328588
1R,4,MRSA,1.8586455623075424
1R,5,GCCS,1.5812160497829328
1R,5,HEFT,1.7709619757568849
1R,5,Hydra,1.9673897805054141
1R,5,MRSA,1.823778512309394
1R,6,GCCS,1.6334334987278925
1R,6,HEFT,1.8294455185752396
1R,6,Hydra,1.9586566512436479
1R,6,MRSA,1.8812550257122584
2R,1,GCCS,1.4277550090745903
2R,1,HEFT,1.5990856101635413
2R,1,Hydra,1.5447157481410387
2R,1,MRSA,1.5134203096190657
2R,2,GCCS,1.4277550090745903
2R,2,HEFT,1.5990856101635413
2R,2,Hydra,1.5488753481405804
2R,2,MRSA,1.5134203096190657
2R,3,GCCS,1.4277550090745903
2R,3,HEFT,1.5990856101635413
2R,3,Hydra,1.571479249914761
2R,3,MRSA,1.5134203096190657
2R,4,GCCS,1.4277550090745903
2R,4,HEFT,1.5990856101635413
2R,4,Hydra,1.6922235782778157
2R,4,MRSA,1.5134203096190657
2R,5,GCCS,1.4277550090745903
2R,5,HEFT,1.5990856101635413
2R,5,Hydra,1.6364467006404548
2R,5,MRSA,1.5134203096190657
2R,6,GCCS,1.4277550090745903
2R,6,HEFT,1.5990856101635413
2R,6,Hydra,1.747481799960335
2R,6,MRSA,1.5134203096190657
4R,1,GCCS,1.417447737484645
4R,1,HEFT,1.5875414659828027
4R,1,Hydra,1.548905398591087
4R,1,MRSA,1.502494601733724
4R,2,GCCS,1.417447737484645
4R,2,HEFT,1.5875414659828027
4R,2,Hydra,1.5082559686027441
4R,2,MRSA,1.5024946017337237
4R,3,GCCS,1.417447737484645
4R,3,HEFT,1.5875414659828024
4R,3,Hydra,1.5284155868846527
4R,3,MRSA,1.5024946017337235
4R,4,GCCS,1.417447737484645
4R,4,HEFT,1.5875414659828027
4R,4,Hydra,1.5933594248913203
4R,4,MRSA,1.5024946017337237
4R,5,GCCS,1.417447737484645
4R,5,HEFT,1.5875414659828027
4R,5,Hydra,1.5674241645167917
4R,5,MRSA,1.5024946017337237
4R,6,GCCS,1.417447737484645
4R,6,HEFT,1.5875414659828027
4R,6,Hydra,1.5768783673541724
4R,6,MRSA,1.5024946017337237
