rho,kappa,method,makespan
0.5R,1,GCCS,2.9029269880267665
0.5R,1,HEFT,3.251278226589979
0.5R,1,Hydra,3.370059364272064
0.5R,1,MRSA,3.166008259044504
0.5R,2,GCCS,2.939514466419893
0.5R,2,HEFT,3.29225620239028
0.5R,2,Hydra,3.6429385528418496
0.5R,2,MRSA,3.1158853344050867
0.5R,4,GCCS,3.0576271753018025
0.5R,4,HEFT,3.4245424363380192
0.5R,4,Hydra,4.2778375826661375
0.5R,4,MRSA,3.24108480581991
0.5R,7,GCCS,3.2212920168993446
0.5R,7,HEFT,3.607847058927266
0.5R,7,Hydra,4.981831229516771
0.5R,7,MRSA,3.414569537913305
0.7R,1,GCCS,2.0951916531492403
0.7R,1,HEFT,2.3466146515271493
0.7R,1,Hydra,2.416696755764185
0.7R,1,MRSA,2.3988623742003203
0.7R,2,GCCS,2.1393755900416487
0.7R,2,HEFT,2.396100660846647
0.7R,2,Hydra,2.6970996805671126
0.7R,2,MRSA,2.2677381254441475
0.7R,4,GCCS,2.1948626123438224
0.7R,4,HEFT,2.4582461258250814
0.7R,4,Hydra,3.0592183602632654
0.7R,4,MRSA,2.3265543690844517
0.7R,7,GCCS,2.3264179171064683
0.7R,7,HEFT,2.6055880671592453
0.7R,7,Hydra,3.6891504460972415
0.7R,7,MRSA,2.4660029921328563
0.9R,1,GCCS,1.6464498004395032
0.9R,1,HEFT,1.844023776492244
0.9R,1,Hydra,1.9402260958895305
0.9R,1,MRSA,2.035349618668925
0.9R,2,GCCS,1.7052664753139182
0.9R,2,HEFT,1.9098984523515885
0.9R,2,Hydra,2.170026392783655
0.9R,2,MRSA,1.8228884025993985
0.9R,4,GCCS,1.750027452776098
0.9R,4,HEFT,1.9600307471092302
0.9R,4,Hydra,2.421756571167048
0.9R,4,MRSA,1.855029099942664
0.9R,7,GCCS,1.8478484182809944
0.9R,7,HEFT,2.069590228474714
0.9R,7,Hydra,3.094501941079254
0.9R,7,MRSA,1.9587193233778541
1.0R,1,GCCS,1.4893825665658358
1.0R,1,HEFT,1.6681084745537362
1.0R,1,Hydra,1.7955417437155632
1.0R,1,MRSA,1.9112552602366861
1.0R,2,GCCS,1.559372653127591
1.0R,2,HEFT,1.746497371502902
1.0R,2,Hydra,1.8738456702589368
1.0R,2,MRSA,1.7134863978930905
1.0R,4,GCCS,1.621416953566121
1.0R,4,HEFT,1.8159869879940556
1.0R,4,Hydra,2.3608795492208854
1.0R,4,MRSA,1.7187019707800881
1.0R,7,GCCS,1.7513240589356736
1.0R,7,HEFT,1.9614829460079548
1.0R,7,Hydra,2.778915490649505
1.0R,7,MRSA,1.8564035024718142
1.1.0R,1,GCCS,1.4424527210797589
1.1.0R,1,HEFT,1.6155470476093303
1.1.0R,1,Hydra,1.7357384259694324
1.1.0R,1,MRSA,1.7293860726935903
1.1.0R,2,GCCS,1.4696018473081873
1.1.0R,2,HEFT,1.6459540689851697
1.1.0R,2,Hydra,1.818796422039664
1.1.0R,2,MRSA,1.5577779581466786
1.1.0R,4,GCCS,1.5211083572073452
1.1.0R,4,HEFT,1.7036413600722264
1.1.0R,4,Hydra,2.070406686522631
1.1.0R,4,MRSA,1.612374858639786
1.1.0R,7,GCCS,1.640266600505516
1.1.0R,7,HEFT,1.8370985925661778
1.1.0R,7,Hydra,2.528937487248871
1.1.0R,7,MRSA,1.7386825965358468
1.3R,1,GCCS,1.42775500907459
1.3R,1,HEFT,1.599085610163541
1.3R,1,Hydra,1.5984748032724563
1.3R,1,MRSA,1.5753580270577947
1.3R,2,GCCS,1.42775500907459
1.3R,2,HEFT,1.5990856101635411
1.3R,2,Hydra,1.7485502986816095
1.3R,2,MRSA,1.5134203096190655
1.3R,4,GCCS,1.42775500907459
1.3R,4,HEFT,1.5990856101635413
1.3R,4,Hydra,1.8238918614821564
1.3R,4,MRSA,1.5134203096190657
1.3R,7,GCCS,1.4771923941678173
1.3R,7,HEFT,1.6544554814679555
1.3R,7,Hydra,2.3970316486121073
1.3R,7,MRSA,1.5658239378178864
1.5R,1,GCCS,1.42775500907459
1.5R,1,HEFT,1.5990856101635411
1.5R,1,Hydra,1.5823602597757895
1.5R,1,MRSA,1.6389607869729876
1.5R,2,GCCS,1.42775500907459
1.5R,2,HEFT,1.5990856101635411
1.5R,2,Hydra,1.6641004545673983
1.5R,2,MRSA,1.5134203096190653
1.5R,4,GCCS,1.42775500907459
1.5R,4,HEFT,1.599085610163541
1.5R,4,Hydra,1.8945358399252592
1.5R,4,MRSA,1.5134203096190655
1.5R,7,GCCS,1.446815874010641
1.5R,7,HEFT,1.620433778891918
1.5R,7,Hydra,2.2415859486149388
1.5R,7,MRSA,1.5336248264512795
