rho,kappa,method,makespan
0.5R,4,GCCS,3.003476502782653
0.5R,4,HEFT,3.3638936831165713
0.5R,4,Hydra,2.7725855573975906
0.5R,4,MRSA,2.9461500307807396
0.6R,4,GCCS,2.504791289177957
0.6R,4,HEFT,2.8053662438793125
0.6R,4,Hydra,2.310662911279332
0.6R,4,MRSA,2.4749341825202635
0.75R,4,GCCS,2.030750845416448
0.75R,4,HEFT,2.274440946866422
0.75R,4,Hydra,1.848693425108105
0.75R,4,MRSA,2.0010629806289937
0.9R,4,GCCS,1.74334064385613
0.9R,4,HEFT,1.952541521118866
0.9R,4,Hydra,1.5531548425429282
0.9R,4,MRSA,1.7391043715168033
1.0R,4,GCCS,1.5062592526014522
1.0R,4,HEFT,1.6870103629136268
1.0R,4,Hydra,1.6371541349213985
1.0R,4,MRSA,1.5552258932322063
1.25R,4,GCCS,1.4201965391581877
1.25R,4,HEFT,1.5906201238571704
1.25R,4,Hydra,1.578486747892245
1.25R,4,MRSA,1.432872632630988
1.5R,4,GCCS,1.4372896405635047
1.5R,4,HEFT,1.6097643974311253
1.5R,4,Hydra,1.4816981437888648
1.5R,4,MRSA,1.407269871961698
2R,4,GCCS,1.4277550090745903
2R,4,HEFT,1.5990856101635413
2R,4,Hydra,1.8165729507417099
2R,4,MRSA,1.3729432204223375
