rho,kappa,method,makespan
0.5R,4,GCCS,3.0576271753018025
0.5R,4,HEFT,3.4245424363380192
0.5R,4,Hydra,4.2778375826661375
0.5R,4,MRSA,3.24108480581991
0.6R,4,GCCS,2.5880537204257523
0.6R,4,HEFT,2.8986201668768428
0.6R,4,Hydra,3.492439884433233
0.6R,4,MRSA,2.743336943651298
0.75R,4,GCCS,2.1031192778755017
0.75R,4,HEFT,2.355493591220562
0.75R,4,Hydra,2.95997488941581
0.75R,4,MRSA,2.229306434548032
0.9R,4,GCCS,1.750027452776098
0.9R,4,HEFT,1.9600307471092302
0.9R,4,Hydra,2.421756571167048
0.9R,4,MRSA,1.855029099942664
1.0R,4,GCCS,1.621416953566121
1.0R,4,HEFT,1.8159869879940556
1.0R,4,Hydra,2.3608795492208854
1.0R,4,MRSA,1.7187019707800881
1.25R,4,GCCS,1.42775500907459
1.25R,4,HEFT,1.5990856101635411
1.25R,4,Hydra,2.0075468640260263
1.25R,4,MRSA,1.5134203096190657
1.5R,4,GCCS,1.42775500907459
1.5R,4,HEFT,1.599085610163541
1.5R,4,Hydra,1.8945358399252592
1.5R,4,MRSA,1.5134203096190655
2R,4,GCCS,1.42775500907459
2R,4,HEFT,1.599085610163541
2R,4,Hydra,1.7964044046333796
2R,4,MRSA,1.5134203096190657
