rho,kappa,method,makespan
0.5R,4,GCCS,3.0059762669301473
0.5R,4,HEFT,3.3666934189617654
0.5R,4,Hydra,3.4449930743475443
0.5R,4,MRSA,3.210180999219538
0.6R,4,GCCS,2.5322977674080813
0.6R,4,HEFT,2.8361734994970513
0.6R,4,Hydra,2.8875390857513787
0.6R,4,MRSA,2.9445018510852616
0.75R,4,GCCS,2.0571428120023274
0.75R,4,HEFT,2.303999949442607
0.75R,4,Hydra,2.374260822759053
0.75R,4,MRSA,2.350892505879693
0.9R,4,GCCS,1.7372882218745513
0.9R,4,HEFT,1.9457628084994978
0.9R,4,Hydra,2.066368331572
0.9R,4,MRSA,2.1347095692935634
1.0R,4,GCCS,1.5475940897177671
1.0R,4,HEFT,1.7333053804838994
1.0R,4,Hydra,1.8875048731328588
1.0R,4,MRSA,1.8586455623075424
1.25R,4,GCCS,1.4201965391581877
1.25R,4,HEFT,1.5906201238571704
1.25R,4,Hydra,1.7864299742793759
1.25R,4,MRSA,1.6379693286832542
1.5R,4,GCCS,1.4372896405635047
1.5R,4,HEFT,1.6097643974311253
1.5R,4,Hydra,1.7062576981922501
1.5R,4,MRSA,1.5235270189973154
2R,4,GCCS,1.4277550090745903
2R,4,HEFT,1.5990856101635413
2R,4,Hydra,1.6922235782778157
2R,4,MRSA,1.5134203096190657
