rho,kappa,method,makespan
2R,1,GCCS,1.42775500907459
2R,1,HEFT,1.5990856101635411
2R,1,Hydra,1.4969857325302165
2R,1,MRSA,1.4564961029207109
2R,2,GCCS,1.42775500907459
2R,2,HEFT,1.5990856101635413
2R,2,Hydra,1.5856644056316977
2R,2,MRSA,1.4295701565724575
2R,3,GCCS,1.4596472550764361
2R,3,HEFT,1.6348049256856085
2R,3,Hydra,1.7239812186364962
2R,3,MRSA,1.4384335959544858
2R,4,GCCS,1.44542887477048
2R,4,HEFT,1.6188803397429377
2R,4,Hydra,1.755116218289625
2R,4,MRSA,1.5984304566958576
2R,5,GCCS,1.4880840156883492
2R,5,HEFT,1.6666540975709512
2R,5,Hydra,1.4687204941136822
2R,5,MRSA,1.677538919483422
2R,6,GCCS,1.4880840156883492
2R,6,HEFT,1.6666540975709514
2R,6,Hydra,1.705082463056302
2R,6,MRSA,1.7070128536614806
2R,7,GCCS,1.4996643974236756
2R,7,HEFT,1.679624125114517
2R,7,Hydra,1.6453611745745513
2R,7,MRSA,1.7625607602268456
