H,method,makespan
0.0,GCCS,1.6825873289862847
0.0,HEFT,1.60297075642777
0.0,Hydra,1.7881321804831962
0.0,MRSA,1.6672670257282074
0.1,GCCS,1.6526278669551928
0.1,HEFT,1.590174618169422
0.1,Hydra,1.7861656788355544
0.1,MRSA,1.664553932653984
0.2,GCCS,1.6403846818008554
0.2,HEFT,1.59408915911588
0.2,Hydra,1.7861656788355544
0.2,MRSA,1.64418149632764
0.3,GCCS,1.6320874638450518
0.3,HEFT,1.5754860487397235
0.3,Hydra,1.8476426203759575
0.3,MRSA,1.7040509087922722
0.4,GCCS,1.627842794118249
0.4,HEFT,1.5757684088268153
0.4,Hydra,1.7045993770256151
0.4,MRSA,1.7289953407478673
0.5,GCCS,1.6150804907379344
0.5,HEFT,1.5815044213871439
0.5,Hydra,1.6310577073979948
0.5,MRSA,1.8692490534983137
0.6,GCCS,1.59200782645944
0.6,HEFT,1.5830222404712524
0.6,Hydra,1.6377520956981566
0.6,MRSA,1.7696544961041445
0.7,GCCS,1.5769151002960635
0.7,HEFT,1.5644188515311015
0.7,Hydra,1.6073502605370678
0.7,MRSA,1.8786996460036032
0.8,GCCS,1.5711372805413428
0.8,HEFT,1.5541655634580984
0.8,Hydra,1.7718605188133336
0.8,MRSA,1.8973630114636704
0.9,GCCS,1.5924133178713893
0.9,HEFT,1.5637699959800027
0.9,Hydra,1.6479324906567214
0.9,MRSA,1.939470437069348
1.0,GCCS,1.6128799509999352
1.0,HEFT,1.596819912640546
1.0,Hydra,1.7309347081036917
1.0,MRSA,2.169618794045608
