H,method,makespan
0.0,GCCS,1.7527558361446545
0.0,HEFT,1.6953534277390452
0.0,Hydra,1.736770527533129
0.0,MRSA,1.8173753069824516
0.1,GCCS,1.7075864820912396
0.1,HEFT,1.6567955442931632
0.1,Hydra,1.7010892642697946
0.1,MRSA,1.7769117130306515
0.2,GCCS,1.7275188063090983
0.2,HEFT,1.6262149505544194
0.2,Hydra,1.7409019885502341
0.2,MRSA,1.7723875790451533
0.3,GCCS,1.7339950134404858
0.3,HEFT,1.615268099602301
0.3,Hydra,1.6924604675918942
0.3,MRSA,1.7258472885013538
0.4,GCCS,1.6990503765880107
0.4,HEFT,1.5827182526482033
0.4,Hydra,1.7227150479771807
0.4,MRSA,1.8147834306532702
0.5,GCCS,1.7315431699860602
0.5,HEFT,1.5851773141285237
0.5,Hydra,1.708186058634308
0.5,MRSA,2.018200614053634
0.6,GCCS,1.723860342385722
0.6,HEFT,1.5522751823835501
0.6,Hydra,1.6226811781494288
0.6,MRSA,1.7871586036834388
0.7,GCCS,1.7344604254468634
0.7,HEFT,1.5631931069010552
0.7,Hydra,1.6368773482343744
0.7,MRSA,1.9645477790197456
0.8,GCCS,1.744306611709673
0.8,HEFT,1.6029167882711233
0.8,Hydra,1.6849836887838963
0.8,MRSA,2.1115298000440688
0.9,GCCS,1.7450371999990115
0.9,HEFT,1.5548485179494054
0.9,Hydra,1.6468944173472468
0.9,MRSA,2.1069588956115357
1.0,GCCS,1.7794464056911208
1.0,HEFT,1.6062355907338697
1.0,Hydra,1.690625722719322
1.0,MRSA,2.302524854298569
