cluster_num,rho,kappa,method,makespan
4,1.0R,4,GCCS,2.2555708613849035
4,1.0R,4,HEFT,2.177751843486133
4,1.0R,4,Hydra,2.3133109788373645
4,1.0R,4,MRSA,2.358086654637712
6,1.0R,4,GCCS,1.6825873289862847
6,1.0R,4,HEFT,1.60297075642777
6,1.0R,4,Hydra,1.7881321804831962
6,1.0R,4,MRSA,1.6672670257282074
8,1.0R,4,GCCS,1.3352408081915443
8,1.0R,4,HEFT,1.2925194356082257
8,1.0R,4,Hydra,1.4519057801186177
8,1.0R,4,MRSA,1.4315294776304768
12,1.0R,4,GCCS,1.0293891353582922
12,1.0R,4,HEFT,0.9396977494433026
12,1.0R,4,Hydra,0.9805284141716724
12,1.0R,4,MRSA,1.032006554999778
16,1.0R,4,GCCS,0.9382481869496135
16,1.0R,4,HEFT,0.8972691075412782
16,1.0R,4,Hydra,0.8693648548129311
16,1.0R,4,MRSA,0.9843656762947529
