rho,kappa,method,makespan
0.5R,4,GCCS,3.003476502782653
0.5R,4,HEFT,3.333858918088745
0.5R,4,Hydra,3.2436850929496125
0.5R,4,MRSA,3.2830554249240125
0.7R,4,GCCS,2.2201799503093924
0.7R,4,HEFT,2.6642159403712706
0.7R,4,Hydra,2.553206942855801
0.7R,4,MRSA,2.553206942855801
0.9R,4,GCCS,1.74334064385613
0.9R,4,HEFT,2.266342837012969
0.9R,4,Hydra,2.2314760241358466
0.9R,4,MRSA,2.1791758048201627
1.0R,4,GCCS,1.5062592526014522
1.0R,4,HEFT,2.1334499910119605
1.0R,4,Hydra,2.1334499910119605
1.0R,4,MRSA,2.09581370283818878
1.25R,4,GCCS,1.4201965391581877
1.25R,4,HEFT,1.846255500905644
1.25R,4,Hydra,1.929871224038299
1.25R,4,MRSA,1.7752456739477345
1.5R,4,GCCS,1.4072896405635047
1.5R,4,HEFT,1.7134933614874757
1.5R,4,Hydra,1.84409512896001765
1.5R,4,MRSA,1.6616288794593004
2R,4,GCCS,1.3777550090745905
2R,4,HEFT,1.5993080600727956
2R,4,Hydra,1.7677447631581562
2R,4,MRSA,1.560420309619066
