rho,kappa,method,makespan
0.5R,4,GCCS,3.0576271753018025
0.5R,4,HEFT,3.424542436338019
0.5R,4,Hydra,3.32108480581991
0.5R,4,MRSA,3.52318651263329
0.7R,4,GCCS,2.2948626123438224
0.7R,4,HEFT,2.723578265429778
0.7R,4,Hydra,2.654092004195396
0.7R,4,MRSA,2.872807657281351
0.9R,4,GCCS,1.780027452776098
0.9R,4,HEFT,2.415037884831015
0.9R,4,Hydra,2.422537061247732
0.9R,4,MRSA,2.47754200274743
1.0R,4,GCCS,1.611416953566121
1.0R,4,HEFT,2.261054582670875
1.0R,4,Hydra,2.291054582670875
1.0R,4,MRSA,2.384267125705793
1.25R,4,GCCS,1.44775500907459
1.25R,4,HEFT,1.927469262250697
1.25R,4,Hydra,2.141632513611885
1.25R,4,MRSA,2.0991632513611885
1.5R,4,GCCS,1.42775500907459
1.5R,4,HEFT,1.784693761343238
1.5R,4,Hydra,2.013020264065615
1.5R,4,MRSA,1.898857012704426
2R,4,GCCS,1.39775500907459
2R,4,HEFT,1.641918260435779
2R,4,Hydra,1.913020264065615
2R,4,MRSA,1.686081511796967
