rho,kappa,method,makespan
0.5R,4,GCCS,3.016425066313549
0.5R,4,HEFT,3.4082318236080383
0.5R,4,Hydra,3.297410570292361
0.5R,4,MRSA,3.48102028315656645
0.7R,4,GCCS,2.045744915282919
0.7R,4,HEFT,2.6968938983395027
0.7R,4,Hydra,2.536606652575357
0.7R,4,MRSA,2.811583288173453
0.9R,4,GCCS,1.5788415938895627
0.9R,4,HEFT,2.3734940720564316
0.9R,4,Hydra,2.3385172401786403
0.9R,4,MRSA,2.483355063323179
1.0R,4,GCCS,1.5486315170110406
1.0R,4,HEFT,2.1851525479649047
1.0R,4,Hydra,2.1851525479649047
1.0R,4,MRSA,2.3793883300062297
1.25R,4,GCCS,1.49775500907459
1.25R,4,HEFT,1.866081511796967
1.25R,4,Hydra,1.9903019125229341
1.25R,4,MRSA,2.0274121128859177
1.5R,4,GCCS,1.44775500907459
1.5R,4,HEFT,1.7718611110709997
1.5R,4,Hydra,1.9274121128859177
1.5R,4,MRSA,1.9131917121599505
2R,4,GCCS,1.39775500907459
2R,4,HEFT,1.604808060072795
2R,4,Hydra,1.85702447631581555
2R,4,MRSA,1.7561386611617457
