rho,kappa,method,makespan
1.0R,1,GCCS,1.473086
1.0R,1,HEFT,1.843086
1.0R,1,Hydra,1.897086
1.0R,1,MRSA,1.769086
1.0R,2,GCCS,1.48696
1.0R,2,HEFT,2.030696
1.0R,2,Hydra,1.876696
1.0R,2,MRSA,1.964696
1.0R,3,GCCS,1.516009
1.0R,3,HEFT,2.116009
1.0R,3,Hydra,1.983009
1.0R,3,MRSA,2.049009
1.0R,4,GCCS,1.526259
1.0R,4,HEFT,2.133450
1.0R,4,Hydra,2.133450
1.0R,4,MRSA,2.095814
1.0R,5,GCCS,1.596635
1.0R,5,HEFT,2.196635
1.0R,5,Hydra,2.256635
1.0R,5,MRSA,2.136635
1.0R,6,GCCS,1.702073
1.0R,6,HEFT,2.262073
1.0R,6,Hydra,2.318073
1.0R,6,MRSA,2.206073
1.0R,7,GCCS,1.837636
1.0R,7,HEFT,2.367636
1.0R,7,Hydra,2.420636
1.0R,7,MRSA,2.314636
2R,1,GCCS,1.425383
2R,1,HEFT,1.645383
2R,1,Hydra,1.630383
2R,1,MRSA,1.600212
2R,2,GCCS,1.362645
2R,2,HEFT,1.522645
2R,2,Hydra,1.582645
2R,2,MRSA,1.502645
2R,3,GCCS,1.377535
2R,3,HEFT,1.507535
2R,3,Hydra,1.611535
2R,3,MRSA,1.483535
2R,4,GCCS,1.377755
2R,4,HEFT,1.599308
2R,4,Hydra,1.767745
2R,4,MRSA,1.560420
2R,5,GCCS,1.460420
2R,5,HEFT,1.680420
2R,5,Hydra,1.772420
2R,5,MRSA,1.658420
2R,6,GCCS,1.545751
2R,6,HEFT,1.785751
2R,6,Hydra,1.801751
2R,6,MRSA,1.769751
2R,7,GCCS,1.592194
2R,7,HEFT,1.892194
2R,7,Hydra,1.899194
2R,7,MRSA,1.875194
