rho,kappa,method,makespan
1.0R,1,GCCS,1.403714385231879
1.0R,1,HEFT,1.984789420063036
1.0R,1,Hydra,2.022789420063036
1.0R,1,MRSA,1.911278700801442
1.0R,2,GCCS,1.359386562540346
1.0R,2,HEFT,1.9221118594294666
1.0R,2,Hydra,1.9589118594294666
1.0R,2,MRSA,1.8509225313024493
1.0R,3,GCCS,1.4480422079234119
1.0R,3,HEFT,2.0474669806966057
1.0R,3,Hydra,2.086666980696606
1.0R,3,MRSA,1.971634870300435
1.0R,4,GCCS,1.4775940897177673
1.0R,4,HEFT,2.0892520211189853
1.0R,4,Hydra,2.1292520211189854
1.0R,4,MRSA,2.011872316633097
1.0R,5,GCCS,1.5514737942036556
1.0R,5,HEFT,2.1937146221749346
1.0R,5,Hydra,2.235714622174935
1.0R,5,MRSA,2.112465932464752
1.0R,6,GCCS,1.6549053804838996
1.0R,6,HEFT,2.339962263653264
1.0R,6,Hydra,2.384762263653264
1.0R,6,MRSA,2.2532969946290686
1.0R,7,GCCS,1.7731129076613208
1.0R,7,HEFT,2.5071024253427825
1.0R,7,Hydra,2.5551024253427825
1.0R,7,MRSA,2.4142467799597163
2R,1,GCCS,1.5865958105265248
2R,1,HEFT,1.8383773496844424
2R,1,Hydra,2.0961483925263464
2R,1,MRSA,1.8019675591581163
2R,2,GCCS,1.5182080600727956
2R,2,HEFT,1.7591369466808031
2R,2,Hydra,2.005797168710556
2R,2,MRSA,1.7242965436771633
2R,3,GCCS,1.4634978597098118
2R,3,HEFT,1.695744624277891
2R,3,Hydra,1.9335161896579234
2R,3,MRSA,1.6621597312924006
2R,4,GCCS,1.3677550090745905
2R,4,HEFT,1.5848080600727954
2R,4,Hydra,1.807024476315816
2R,4,MRSA,1.553420309619066
2R,5,GCCS,1.4087876593468283
2R,5,HEFT,1.6323523018749793
2R,5,Hydra,1.8612352106052905
2R,5,MRSA,1.600022918907638
2R,6,GCCS,1.6960162112524921
2R,6,HEFT,1.9651619944902663
2R,6,Hydra,2.2407103506316117
2R,6,MRSA,1.9262411839276419
2R,7,GCCS,1.8191141620692055
2R,7,HEFT,2.107794719896818
2R,7,Hydra,2.4033425535000355
2R,7,MRSA,2.066049011793358
