H,method,makespan
0.0,GCCS,1.523945256163331
0.0,HEFT,2.1374351524999684
0.0,Hydra,2.1304800308774403
0.0,MRSA,2.095022823168251
0.1,GCCS,1.4939857941322392
0.1,HEFT,2.0946390142416202
0.1,Hydra,2.0985135292297987
0.1,MRSA,2.002309730094028
0.2,GCCS,1.4817426089779018
0.2,HEFT,2.0985535551880785
0.2,Hydra,2.0985135292297987
0.2,MRSA,1.9819372937676838
0.3,GCCS,1.4734453910220981
0.3,HEFT,2.0799504448119217
0.3,Hydra,2.1309904707702016
0.3,MRSA,2.041806706232316
0.4,GCCS,1.4692007212952953
0.4,HEFT,2.0802328048990137
0.4,Hydra,2.0169472274198594
0.4,MRSA,2.066751138187911
0.5,GCCS,1.4564384179149807
0.5,HEFT,2.0859688174593423
0.5,Hydra,1.9434055577922391
0.5,MRSA,2.1070048509383575
0.6,GCCS,1.4333657536364863
0.6,HEFT,2.087486636543451
0.6,Hydra,1.950099946092401
0.6,MRSA,2.1074102935441883
0.7,GCCS,1.41827302747311
0.7,HEFT,2.0688832476033
0.7,Hydra,1.919698110931312
0.7,MRSA,2.216455443443647
0.8,GCCS,1.4124952077183892
0.8,HEFT,2.058629959530297
0.8,Hydra,1.9842083692075777
0.8,MRSA,2.235118808903714
0.9,GCCS,1.4337712450484357
0.9,HEFT,2.0682343920522013
0.9,Hydra,1.9602803410509657
0.9,MRSA,2.277226234509392
1.0,GCCS,1.4542378781769816
1.0,HEFT,2.1012843087127444
1.0,Hydra,2.043282558497936
1.0,MRSA,2.237374591485652
