H,method,makespan
0.0,GCCS,1.5706304432809028
0.0,HEFT,2.25976445062559
0.0,Hydra,2.2052418474269695
0.0,MRSA,2.4476462032154283
0.1,GCCS,1.525461089227488
0.1,HEFT,2.2212065671797077
0.1,Hydra,2.169560584163635
0.1,MRSA,2.4071826092636277
0.2,GCCS,1.5453934134453469
0.2,HEFT,2.190625973440964
0.2,Hydra,2.209373308444074
0.2,MRSA,2.4026584752781295
0.25,GCCS,1.5486315170110405
0.25,HEFT,2.1851525479649045
0.25,Hydra,2.1851525479649045
0.25,MRSA,2.3793883300062295
0.3,GCCS,1.5518696205767342
0.3,HEFT,2.1796791224888454
0.3,Hydra,2.1609317874857346
0.3,MRSA,2.35611818473433
0.4,GCCS,1.516924983724259
0.4,HEFT,2.1471292755347475
0.4,Hydra,2.1911863678710213
0.4,MRSA,2.445054326886247
0.5,GCCS,1.5494177771223085
0.5,HEFT,2.149588337015068
0.5,Hydra,2.1766573785281484
0.5,MRSA,2.64847151028661
0.6,GCCS,1.5417349495219703
0.6,HEFT,2.1166862052700943
0.6,Hydra,2.091152498043269
0.6,MRSA,2.417429499916415
0.7,GCCS,1.5523350325831118
0.7,HEFT,2.1276041297875996
0.7,Hydra,2.1053486681282148
0.7,MRSA,2.594818675252722
0.8,GCCS,1.5621812188459214
0.8,HEFT,2.1673278111576675
0.8,Hydra,2.153455008677737
0.8,MRSA,2.741800696277045
0.9,GCCS,1.56291180713526
0.9,HEFT,2.11925954083595
0.9,Hydra,2.1153657372410875
0.9,MRSA,2.7372297918445123
1.0,GCCS,1.5973210128273692
1.0,HEFT,2.170646613620414
1.0,Hydra,2.1590970426131624
1.0,MRSA,2.932795750531545
