cluster_num,rho,kappa,method,makespan
4,1.0R,4,GCCS,1.8955708613849035
4,1.0R,4,HEFT,2.457180206268193
4,1.0R,4,Hydra,2.5715021884317895
4,1.0R,4,MRSA,2.4226691525166753
6,1.0R,4,GCCS,1.5025873289862848
6,1.0R,4,HEFT,2.130297075642777
6,1.0R,4,Hydra,2.15881321804832
6,1.0R,4,MRSA,2.0972670257282076
8,1.0R,4,GCCS,1.2952408081915443
8,1.0R,4,HEFT,1.75836321199454
8,1.0R,4,Hydra,1.7139545980317056
8,1.0R,4,MRSA,1.6707357338004594
12,1.0R,4,GCCS,1.0293891353582922
12,1.0R,4,HEFT,1.360270809419041
12,1.0R,4,Hydra,1.2899662803352281
12,1.0R,4,MRSA,1.260270809419041
16,1.0R,4,GCCS,0.9382481869496136
16,1.0R,4,HEFT,1.1423981285291903
16,1.0R,4,Hydra,1.11663956325581022
16,1.0R,4,MRSA,1.0813251580747797
