cluster_num,rho,kappa,method,makespan
4,1.0R,4,GCCS,2.264985613757819
4,1.0R,4,HEFT,2.1628110277979355
4,1.0R,4,Hydra,2.367785978220177
4,1.0R,4,MRSA,2.790289705611603
6,1.0R,4,GCCS,1.6184795378370596
6,1.0R,4,HEFT,1.5860561660561543
6,1.0R,4,Hydra,1.6310577073979948
6,1.0R,4,MRSA,2.3159176939298773
8,1.0R,4,GCCS,1.3038816658025223
8,1.0R,4,HEFT,1.255357367192644
8,1.0R,4,Hydra,1.3480769645147774
8,1.0R,4,MRSA,1.9528175036095026
12,1.0R,4,GCCS,0.9095301606557071
12,1.0R,4,HEFT,0.8912425992220616
12,1.0R,4,Hydra,0.9052410855265896
12,1.0R,4,MRSA,1.6416344484792043
16,1.0R,4,GCCS,0.8400907553957304
16,1.0R,4,HEFT,0.7938646121238064
16,1.0R,4,Hydra,0.7947313855129445
16,1.0R,4,MRSA,1.5385728437156168
