rho,kappa,method,makespan
1.2,2,GCCS,1.3
1.2,3,GCCS,1.18
1.2,4,GCCS,1.1
1.2,5,GCCS,1.06
1.2,6,GCCS,1.03
2.4,2,GCCS,1.15
2.4,3,GCCS,1.06
2.4,4,GCCS,1.0
2.4,5,GCCS,0.97
2.4,6,GCCS,0.94
4.8,2,GCCS,0.98
4.8,3,GCCS,0.96
4.8,4,GCCS,0.95
4.8,5,GCCS,0.95
4.8,6,GCCS,0.95
1.2,2,HEFT,1.75
1.2,3,HEFT,1.58
1.2,4,HEFT,1.45
1.2,5,HEFT,1.4
1.2,6,HEFT,1.35
2.4,2,HEFT,1.45
2.4,3,HEFT,1.3
2.4,4,HEFT,1.22
2.4,5,HEFT,1.18
2.4,6,HEFT,1.15
4.8,2,HEFT,1.1
4.8,3,HEFT,1.08
4.8,4,HEFT,1.05
4.8,5,HEFT,1.04
4.8,6,HEFT,1.03
1.2,2,Hydra,1.55
1.2,3,Hydra,1.4
1.2,4,Hydra,1.32
1.2,5,Hydra,1.28
1.2,6,Hydra,1.24
2.4,2,Hydra,1.28
2.4,3,Hydra,1.18
2.4,4,Hydra,1.12
2.4,5,Hydra,1.1
2.4,6,Hydra,1.07
4.8,2,Hydra,1.05
4.8,3,Hydra,1.03
4.8,4,Hydra,1.02
4.8,5,Hydra,1.01
4.8,6,Hydra,1.01
1.2,2,MRSA,1.6
1.2,3,MRSA,1.45
1.2,4,MRSA,1.35
1.2,5,MRSA,1.3
1.2,6,MRSA,1.27
2.4,2,MRSA,1.32
2.4,3,MRSA,1.21
2.4,4,MRSA,1.15
2.4,5,MRSA,1.12
2.4,6,MRSA,1.1
4.8,2,MRSA,1.06
4.8,3,MRSA,1.05
4.8,4,MRSA,1.03
4.8,5,MRSA,1.02
4.8,6,MRSA,1.02
